,Nombre,Domicilio,Localidad,Departamento,Provincia,CP,Latitud,Longitud,Gestion,Pantallas,Butacas
116,Atlas Caballito,Av. Rivadavia 5071,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1424,-34.618581,-58.437367,Privado comercial,9,1769
117,Atlas La Rural,Juncal 4431,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.5776958,-58.4211033,Privado comercial,1,130
118,Atlas Liniers,Ramón L. Falcón 7115,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1408,-34.6401748,-58.5266769,Privado comercial,4,460
119,Atlas Paseo Alcorta,Jeronimo Salguero 3172,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.575385,-58.403997,Privado comercial,3,432
120,Atlas Patio Bullrich,Posadas 1245,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1001,-34.588095,-58.383485,Privado comercial,3,585
121,Atlas Rivera Indarte,Rivera Indarte 44,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1406,-34.629368,-58.462523,Privado comercial,5,1263
122,Belgrano Multiplex,Vuelta De Obligado 2238,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.560503,-58.456499,Privado comercial,8,2314
123,Centro Cultural San Martín Sala 1 y 2,Sarmiento 1551,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.605014,-58.3887091,Público provincial,2,192
124,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.583511,-58.392686,Privado comercial,1,235
125,Cine Box,Laprida 1423,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.592435,-58.405847,Privado comercial,2,40
126,Cine del Recuerdo,Av. Juan de Garay 1267,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1153,-34.626836,-58.383669,Privado comercial,1,85
127,Cine Popular HQ,Moreno 2654,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1094,-34.6135315,-58.4036714,Privado comercial,1,158
128,Cine San Francisco,Av. Gral. Paz 10652,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1408,-34.6399054,-58.5288246,Privado comercial,1,40
129,Cinema Devoto,Jose Pedro Varela 4866,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1417,-34.611658,-58.516928,Privado comercial,8,1908
130,Cinemark Caballito,Av. La Plata 96,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1184,-34.616128,-58.428999,Privado comercial,6,898
131,Cinemark Palermo,Beruti 3399,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.586565,-58.410421,Privado comercial,10,1738
132,Cinemark Puerto Madero,Av. Alicia M De Justo 1920,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1107,-34.622186,-58.365288,Privado comercial,8,1379
133,Cinepolis Recoleta,Vicente Lopez 2050,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1128,-34.58922,-58.392976,Privado comercial,10,1776
134,Complejo Cultural 25 de Mayo,Av. Triunvirato 4444,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1431,-34.5763369,-58.4836525,Público provincial,1,500
135,Eden - Sala 2,Santa Fe 1825,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1123,-34.595832,-58.393655,Privado comercial,1,30
136,El Páramo Cultural,Carlos Calvo 3974,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1230,-34.6250548,-58.4215037,Privado comercial,1,60
137,Gaumont,Av. Rivadavia 1635,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1033,-34.60898,-58.38964,Público nacional,3,1167
138,Hoyts Abasto,Aguero 665,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1193,-34.603485,-58.410853,Privado comercial,12,3021
139,Hoyts Panamericana,Melian 4880,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1430,-34.546344,-58.488435,Privado comercial,10,1918
140,Leopoldo Lugones,Av. Corrientes 1530,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.604258,-58.388392,Público provincial,1,212
141,Lorca,Av. Corrientes 1428,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.604091,-58.38682,Privado comercial,2,452
142,Malba,Av. Figuero Alcorta 3415,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1425,-34.577273,-58.403747,Privado comercial,1,224
143,Monumental Lavalle,Lavalle 780,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1047,-34.602358,-58.377801,Privado comercial,7,1270
144,Nueva Victoria,Hipolito Yrigoyen 965,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1086,-34.6094911,-58.3800409,Privado comercial,2,115
145,Popular Ecuador,Ecuador 54,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1214,-34.6097095,-58.4090281,Privado comercial,1,147
146,Raúl González Tuñón,Av. Corrientes 1543,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1042,-34.6040092,-58.3885434,Privado comercial,1,94
147,Showcase Cinemas Belgrano,Monroe 1655,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.553878,-58.452868,Privado comercial,10,2082
148,UBA - Cosmos,Av. Corrientes 2046,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1045,-34.604629,-58.396198,Público nacional,2,190
149,Yrigoyen,Hipolito Yrigoyen 945,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1086,-34.6093723,-58.3796419,Privado comercial,2,64
150,Microcine Centro Cultural Recoleta,Junin 1930,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1113,-34.586753,-58.391672,Público provincial,1,100
151,Cinemacenter Alta Gracia,Belgrano 466,Alta Gracia,Santa Maria (Córdoba),Córdoba,5186,-31.658439,-64.4284228,Privado comercial,3,431
152,Dinosaurio Mall Alta Gracia,Gabino Ezeiza 1080,Alta Gracia,Santa Maria (Córdoba),Córdoba,5186,-31.3743198,-64.1888852,Privado comercial,2,317
153,Cine Cooperativo Berrotarán,ROGELIO MARTINEZ y MARIANO MORENO,Berrotaran,Rio Cuarto (Córdoba),Córdoba,5817,-32.451917,-64.388374,Privado comercial,1,419
154,El Jardín de las Delicias,Bv. San Juan 49,Cordoba,Capital (Córdoba),Córdoba,5000,-31.4209116,-64.186749,Público municipal,1,194
155,Cine Moderno,Antonio G. Almada 172,La Francia,San Justo (Córdoba),Córdoba,2426,-31.404247,-62.632551,Privado comercial,1,441
156,Cinema 2000 Auditorium,Belgrano y Rafael Nuñez,Arroyito,San Justo (Córdoba),Córdoba,2434,-31.415409,-63.050541,Privado comercial,1,207
157,Sudcinemas Bell Ville,Mitre 61,Bell Ville,Union (Córdoba),Córdoba,5900,-32.630182,-62.686628,Privado comercial,2,324
