Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Seleccione el tipo de gestión,Cantidad de pantallas,Cantidad de butacas,Referente
"Cine Español Chivilcoy","Av. Soarez 86","Chivilcoy","Chivilcoy (Buenos Aires)","Buenos Aires","","","6620","s/d","s/d","https://www.facebook.com/cinechivilcoy/","","-34.90193000000000000000","-60.01545600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","500",""
"Metropol","Av. Ceballos 29","Chivilcoy","Chivilcoy (Buenos Aires)","Buenos Aires","","","6620","s/d","s/d","https://www.facebook.com/CineMetropolChivilcoy/","","-34.89584400000000000000","-60.02049300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","500",""
"Tu Cine Chivilcoy","Pellegrini 225","Chivilcoy","Chivilcoy (Buenos Aires)","Buenos Aires","","","6620","s/d","s/d","http://chivilcoy.tucine.com.ar/","","-34.89311790000000000000","-60.01606490000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","348",""
"Nuevo Ciudadela","Av. Maipu 3927","Tres de Febrero","Tres de Febrero (Buenos Aires)","Buenos Aires","","","1702","s/d","s/d","","","-34.63977200000000000000","-58.54124000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","350",""
"Cine Teatro Colon","Calle 48 Y 19","Colon","Colon (Buenos Aires)","Buenos Aires","","","2720","s/d","s/d","http://cineteatrocolon.com.ar","","-33.90623700000000000000","-61.11381000000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","270",""
"Cine Teatro Helios","Boulevard San Martin 3076","Moron","Moron (Buenos Aires)","Buenos Aires","","","1684","s/d","s/d","","Espacio INCAA","-34.60392100000000000000","-58.59290400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","349",""
"Canning Multiplex","Formosa 653","Ezeiza","Ezeiza (Buenos Aires)","Buenos Aires","","Piso 1","1804","s/d","s/d","https://www.multiplex.com.ar/","","-34.85611400000000000000","-58.50466400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1132",""
"Cinemacenter Florencio Varela","Av. San Martin 554","Florencio Varela","Florencio Varela (Buenos Aires)","Buenos Aires","","","1888","s/d","s/d","http://www.cinemacenter.com.ar/","","-34.77971400000000000000","-58.27941700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1327",""
"Cine Teatro Español","Larrea 688","General Belgrano","General Belgrano (Buenos Aires)","Buenos Aires","","","7223","s/d","s/d","","","-35.76714300000000000000","-58.49599500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","378",""
"Espacio INCAA Gral Madariaga","Dr. Carlos Madariaga 499","General Juan Madariaga","General Juan Madariaga (Buenos Aires)","Buenos Aires","","","7163","s/d","s/d","","Espacio INCAA","-36.99869900000000000000","-57.13412100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","230",""
